Date:2017-02-10 FundIndex:68 
  index:0 code:000528.SZ 
  index:1 code:000599.SZ 
  index:2 code:000401.SZ 
  index:3 code:601919.SH 
  index:4 code:600017.SH 
  index:5 code:600496.SH 
  index:6 code:002807.SZ 
  index:7 code:601128.SH 
  index:8 code:600970.SH 
  index:9 code:300122.SZ 
  index:10 code:603601.SH 
  index:11 code:600908.SH 
  index:12 code:300292.SZ 
  index:13 code:002544.SZ 
  index:14 code:000560.SZ 
  index:15 code:600720.SH 
  index:16 code:601000.SH 
  index:17 code:600348.SH 
  index:18 code:000498.SZ 
  index:19 code:000544.SZ 
  index:20 code:600678.SH 
  index:21 code:600308.SH 
  index:22 code:600724.SH 
  index:23 code:000039.SZ 
  index:24 code:300013.SZ 
  index:25 code:600033.SH 
  index:26 code:002305.SZ 
  index:27 code:000789.SZ 
  index:28 code:000928.SZ 
  index:29 code:002436.SZ 
  index:30 code:300149.SZ 
  index:31 code:002100.SZ 
  index:32 code:002756.SZ 
  index:33 code:002469.SZ 
  index:34 code:600295.SH 
  index:35 code:000546.SZ 
  index:36 code:000589.SZ 
  index:37 code:300185.SZ 
  index:38 code:601898.SH 
  index:39 code:600127.SH 
  index:40 code:600802.SH 
  index:41 code:600710.SH 
  index:42 code:600668.SH 
  index:43 code:000157.SZ 
  index:44 code:600031.SH 
  index:45 code:002449.SZ 
  index:46 code:601636.SH 
  index:47 code:000425.SZ 
  index:48 code:002514.SZ 
  index:49 code:000582.SZ 
  index:50 code:601001.SH 
  index:51 code:600997.SH 
  index:52 code:601208.SH 
  index:53 code:300228.SZ 
  index:54 code:600801.SH 
  index:55 code:000758.SZ 
  index:56 code:000585.SZ 
  index:57 code:601992.SH 
  index:58 code:601872.SH 
  index:59 code:002128.SZ 
  index:60 code:600169.SH 
  index:61 code:002310.SZ 
  index:62 code:000751.SZ 
  index:63 code:600881.SH 
  index:64 code:600780.SH 
  index:65 code:000880.SZ 
  index:66 code:002302.SZ 
  index:67 code:600346.SH 
