windcode:300081.SZ high:14.780000 low:13.930000 close:14.050000 diff:-0.492183 dea:-0.555310 macd:0.126253 K:21.375665 D:32.915161 J:-1.703327 PB1:14.741372 PB2:14.793452 PB6:16.434556 
windcode:600190.SH high:4.200000 low:4.110000 close:4.130000 diff:0.009172 dea:0.063235 macd:-0.108126 K:22.117428 D:32.518092 J:1.316101 PB1:4.412877 PB2:4.420309 PB6:4.470149 
windcode:000713.SZ high:8.750000 low:8.400000 close:8.440000 diff:-0.659954 dea:-0.423300 macd:-0.473309 K:13.795113 D:16.984093 J:7.417153 PB1:9.271215 PB2:9.650915 PB6:10.478183 
windcode:600367.SH high:10.900000 low:10.390000 close:10.610000 diff:-0.708705 dea:-0.459330 macd:-0.498751 K:14.990258 D:21.346816 J:2.277141 PB1:11.677690 PB2:12.030562 PB6:12.809507 
windcode:603123.SH high:8.880000 low:8.650000 close:8.690000 diff:-0.369054 dea:-0.158835 macd:-0.420436 K:11.666826 D:15.971604 J:3.057268 PB1:9.350236 PB2:9.589459 PB6:9.831094 
windcode:300034.SZ high:17.180000 low:16.490000 close:16.490000 diff:-0.937643 dea:-0.412081 macd:-1.051126 K:15.463111 D:22.464785 J:1.459763 PB1:18.254423 PB2:18.803025 PB6:19.834519 
windcode:000528.SZ high:8.120000 low:7.850000 close:7.860000 diff:0.115782 dea:0.277044 macd:-0.322525 K:21.674591 D:30.866603 J:3.290567 PB1:8.365441 PB2:8.366669 PB6:7.898371 
windcode:002665.SZ high:7.880000 low:7.520000 close:7.730000 diff:-0.300276 dea:-0.214254 macd:-0.172045 K:18.689938 D:22.130303 J:11.809207 PB1:8.096665 PB2:8.198448 PB6:8.788444 
windcode:000685.SZ high:10.770000 low:10.500000 close:10.570000 diff:-0.074423 dea:-0.025651 macd:-0.097545 K:23.943155 D:26.338681 J:19.152102 PB1:10.827913 PB2:10.846644 PB6:11.110492 
windcode:002107.SZ high:13.590000 low:13.200000 close:13.260000 diff:-0.595567 dea:-0.396014 macd:-0.399105 K:12.011105 D:16.951543 J:2.130230 PB1:14.108171 PB2:14.472617 PB6:16.003490 
windcode:000636.SZ high:8.740000 low:8.400000 close:8.680000 diff:-0.399235 dea:-0.145177 macd:-0.508116 K:17.120751 D:18.476369 J:14.409515 PB1:9.214201 PB2:9.475028 PB6:9.853338 
windcode:600598.SH high:10.840000 low:10.660000 close:10.700000 diff:-0.252084 dea:-0.094156 macd:-0.315856 K:21.935263 D:20.585637 J:24.634515 PB1:11.082105 PB2:11.316741 PB6:11.602964 
windcode:600059.SH high:9.230000 low:8.880000 close:8.930000 diff:-0.290526 dea:-0.088847 macd:-0.403358 K:10.890909 D:14.625822 J:3.421081 PB1:9.668890 PB2:9.833541 PB6:10.077908 
windcode:600751.SH high:6.780000 low:6.520000 close:6.550000 diff:-0.545167 dea:-0.416315 macd:-0.257704 K:13.317163 D:16.926538 J:6.098412 PB1:7.226435 PB2:7.456236 PB6:8.627924 
windcode:600640.SH high:16.640000 low:16.150000 close:16.260000 diff:-0.813936 dea:-0.498155 macd:-0.631562 K:13.065364 D:18.439804 J:2.316484 PB1:17.569598 PB2:18.024573 PB6:19.444948 
windcode:000720.SZ high:5.110000 low:4.970000 close:5.020000 diff:-0.501541 dea:-0.401259 macd:-0.200563 K:14.700349 D:15.383717 J:13.333613 PB1:5.462382 PB2:5.664947 PB6:6.540964 
windcode:002019.SZ high:15.080000 low:14.650000 close:14.680000 diff:-0.139257 dea:0.138888 macd:-0.556290 K:12.174514 D:19.197117 J:-1.870691 PB1:15.743135 PB2:15.852967 PB6:15.518412 
windcode:000572.SZ high:5.200000 low:5.050000 close:5.070000 diff:-0.070914 dea:0.052763 macd:-0.247354 K:14.283005 D:17.970038 J:6.908941 PB1:5.430501 PB2:5.503992 PB6:5.496951 
windcode:600835.SH high:19.900000 low:19.660000 close:19.740000 diff:-0.111920 dea:0.044790 macd:-0.313420 K:24.076435 D:39.901288 J:-7.573271 PB1:20.619082 PB2:20.627034 PB6:21.399535 
windcode:300239.SZ high:6.850000 low:6.520000 close:6.550000 diff:-0.359231 dea:-0.195053 macd:-0.328358 K:17.680846 D:23.920761 J:5.201016 PB1:7.177818 PB2:7.378571 PB6:7.804741 
windcode:600662.SH high:8.230000 low:7.980000 close:8.010000 diff:-0.839315 dea:-0.642951 macd:-0.392727 K:5.964916 D:9.208350 J:-0.521952 PB1:8.965316 PB2:9.339644 PB6:11.017293 
windcode:000599.SZ high:6.620000 low:6.410000 close:6.430000 diff:-0.336217 dea:-0.106037 macd:-0.460359 K:8.334670 D:12.720104 J:-0.436198 PB1:7.207314 PB2:7.430875 PB6:7.660901 
windcode:603806.SH high:32.780000 low:31.030000 close:31.700000 diff:-3.506528 dea:-1.676457 macd:-3.660141 K:5.841398 D:12.399836 J:-7.275477 PB1:38.364650 PB2:40.442031 PB6:43.953481 
windcode:600854.SH high:8.260000 low:7.910000 close:8.050000 diff:0.064556 dea:0.113288 macd:-0.097463 K:43.813313 D:41.201604 J:49.036730 PB1:8.008591 PB2:7.957089 PB6:7.711025 
windcode:300438.SZ high:25.220000 low:24.820000 close:25.000000 diff:-2.230138 dea:-1.494817 macd:-1.470642 K:17.868803 D:17.902358 J:17.801693 PB1:27.783847 PB2:28.773003 PB6:32.224397 
windcode:600685.SH high:29.290000 low:28.110000 close:28.130000 diff:-0.038134 dea:0.826605 macd:-1.729478 K:12.295474 D:24.712224 J:-12.538027 PB1:31.790894 PB2:31.968197 PB6:31.544730 
windcode:600698.SH high:9.350000 low:9.000000 close:9.040000 diff:0.366591 dea:0.940055 macd:-1.146928 K:12.175801 D:21.101544 J:-5.675686 PB1:10.505351 PB2:10.540522 PB6:8.683469 
windcode:600703.SH high:18.150000 low:17.570000 close:18.140000 diff:1.143465 dea:0.974013 macd:0.338904 K:84.891481 D:81.208665 J:92.257114 PB1:16.888160 PB2:16.410660 PB6:14.363973 
windcode:601118.SH high:5.620000 low:5.470000 close:5.480000 diff:-0.341650 dea:-0.119171 macd:-0.444958 K:9.129247 D:9.396930 J:8.593880 PB1:6.043702 PB2:6.297847 PB6:6.549351 
windcode:300199.SZ high:15.090000 low:14.790000 close:14.810000 diff:-0.966517 dea:-0.826555 macd:-0.279923 K:17.853251 D:19.855025 J:13.849702 PB1:15.796732 PB2:16.096688 PB6:18.332857 
windcode:600066.SH high:19.620000 low:19.220000 close:19.590000 diff:-0.203876 dea:-0.060551 macd:-0.286651 K:30.210642 D:39.052409 J:12.527107 PB1:20.084831 PB2:20.157623 PB6:20.309588 
windcode:002089.SZ high:12.120000 low:11.750000 close:12.050000 diff:-0.957673 dea:-0.764824 macd:-0.385699 K:12.554908 D:19.263165 J:-0.861605 PB1:13.014260 PB2:13.362319 PB6:15.385781 
windcode:600480.SH high:21.860000 low:20.580000 close:20.840000 diff:1.850749 dea:1.802537 macd:0.096425 K:39.096068 D:45.808220 J:25.671765 PB1:21.338859 PB2:20.345448 PB6:17.091651 
